Timestamp,Building,Floor,Range Number,Section Number,Shelf Number,Call No. Leading Alpha ,Call No. Leading Numeric,Call No. Ending Alpha ,Call No. Ending Numeric,Occupied Space,Stacked
,ZIM,2,2,1,1,,,,,,
,ZIM,2,2,1,2,,,,,,
,ZIM,2,2,1,3,,,,,,
,ZIM,2,2,1,4,,,,,,
,ZIM,2,2,1,5,,,,,,
,ZIM,2,2,1,6,,,,,,
5/22/2017 17:06:15,ZIM,2,2,2,1,A,70,AC,1,30,No
5/22/2017 17:07:02,ZIM,2,2,2,2,AC,1,AC,1,30,No
5/22/2017 17:07:47,ZIM,2,2,2,3,AC,1,AC,1,29,No
5/22/2017 17:08:45,ZIM,2,2,2,4,AC,1,AC,1,32,No
5/22/2017 17:09:14,ZIM,2,2,2,5,AC,1,AC,1,32,No
5/22/2017 17:09:55,ZIM,2,2,2,6,AC,1,AC,1,31,No
5/22/2017 17:10:25,ZIM,2,2,3,1,AC,1,AC,1,29,No
5/22/2017 17:10:56,ZIM,2,2,3,2,AC,1,AC,1,30,No
5/22/2017 17:11:24,ZIM,2,2,3,3,AC,1,AC,5,30,No
5/22/2017 17:11:53,ZIM,2,2,3,4,AC,5,AC,5,29,No
5/22/2017 17:12:16,ZIM,2,2,3,5,AC,5,AC,5,32,No
5/22/2017 17:12:47,ZIM,2,2,3,6,AC,5,AC,8,31,No
5/22/2017 17:13:06,ZIM,2,2,4,1,AC,8,AC,8,28,No
5/22/2017 17:13:48,ZIM,2,2,4,2,AC,8,AC,8,30,No
5/22/2017 17:14:47,ZIM,2,2,4,3,AC,8,AC,8,31,No
5/22/2017 17:15:10,ZIM,2,2,4,4,AC,8,AC,8,29,No
5/22/2017 17:19:46,ZIM,2,2,4,5,AC,8,AC,8,34,No
5/22/2017 17:20:26,ZIM,2,2,4,6,AC,8,AC,8,30,No
5/22/2017 17:21:15,ZIM,2,2,5,1,AC,8,AC,15,31,No
5/22/2017 17:21:44,ZIM,2,2,5,2,AC,15,AC,35,28,No
5/22/2017 17:22:14,ZIM,2,2,5,3,AC,35,AC,65,31,No
5/22/2017 17:22:38,ZIM,2,2,5,4,AC,65,AC,70,32,No
5/22/2017 17:23:03,ZIM,2,2,5,5,AC,70,AC,75,32,No
5/22/2017 17:24:17,ZIM,2,2,5,6,AC,75,AC,75,30,No
5/22/2017 17:24:45,ZIM,2,2,6,1,AC,75,AC,75,33,No
5/22/2017 17:25:10,ZIM,2,2,6,2,AC,75,AC,75,31,No
5/22/2017 17:25:31,ZIM,2,2,6,3,AC,75,AC,75,32,No
5/22/2017 17:25:51,ZIM,2,2,6,4,AC,75,AC,75,33,No
5/22/2017 17:07:22,ZIM,2,2,6,5,AC,75,AC,75,32,No
5/22/2017 17:08:13,ZIM,2,2,6,6,AC,75,AC,75,31,No
5/22/2017 17:09:14,ZIM,2,2,7,1,AC,75,AC,75,31,No
5/22/2017 17:10:05,ZIM,2,2,7,2,AC,75,AC,75,32,No
5/22/2017 17:10:35,ZIM,2,2,7,3,AC,75,AC,75,30,No
5/22/2017 17:11:05,ZIM,2,2,7,4,AC,75,AC,75,31,No
5/22/2017 17:11:50,ZIM,2,2,7,5,AC,75,AC,75,30,No
5/22/2017 17:12:19,ZIM,2,2,7,6,AC,75,AC,75,31,No
5/22/2017 17:12:53,ZIM,2,2,8,1,AC,75,AC,75,30,No
5/22/2017 17:13:46,ZIM,2,2,8,2,AC,75,AC,75,29,No
5/22/2017 17:14:55,ZIM,2,2,8,3,AC,75,AC,75,31,No
5/22/2017 17:15:37,ZIM,2,2,8,4,AC,75,AE,1,31,No
5/22/2017 17:16:13,ZIM,2,2,8,5,AE,1,AE,5,28,No
5/22/2017 17:17:02,ZIM,2,2,8,6,AE,5,AE,6,28,No
5/22/2017 17:23:14,ZIM,2,2,9,1,AE,6,AE,25,30,No
5/22/2017 17:24:06,ZIM,2,2,9,2,AE,25,AE,25,31,No
5/22/2017 17:24:44,ZIM,2,2,9,3,AE,25,AE,25,29,No
5/22/2017 17:25:26,ZIM,2,2,9,4,AE,25,AE,25,30,No
5/22/2017 17:26:41,ZIM,2,2,9,5,AE,25,AE,25,29,No
5/22/2017 17:27:33,ZIM,2,2,9,6,AE,25,AE,25,30,No
5/22/2017 17:28:00,ZIM,2,2,10,1,AE,25,AE,27,30,No
5/22/2017 17:28:28,ZIM,2,2,10,2,AE,27,AE,27,30,No
5/22/2017 17:28:52,ZIM,2,2,10,3,AE,27,AE,27,29,No
5/22/2017 17:29:19,ZIM,2,2,10,4,AE,27,AE,27,35,No
5/22/2017 17:29:44,ZIM,2,2,10,5,AE,27,AE,27,28,No
5/22/2017 17:30:07,ZIM,2,2,10,6,AE,27,AE,35,31,No
5/22/2017 17:30:30,ZIM,2,2,11,1,AE,35,AE,35,31,No
5/22/2017 17:31:15,ZIM,2,2,11,2,AE,35,AE,35,29,No
5/22/2017 17:03:47,ZIM,2,2,11,3,AE,35,AE,35.2,31,No
5/22/2017 17:20:10,ZIM,2,2,11,4,AE,35.2,AE,35.2,31,No
5/22/2017 17:20:42,ZIM,2,2,11,5,AE,35.2,AE,37,33,No
5/22/2017 17:21:09,ZIM,2,2,11,6,AE,37,AE,37,27,No
5/22/2017 17:21:33,ZIM,2,2,12,1,AE,37,AE,37,30,No
5/22/2017 17:22:01,ZIM,2,2,12,2,AE,41,AE,55,31,No
5/22/2017 17:22:29,ZIM,2,2,12,3,AE,55,AE,55,31,No
5/22/2017 17:22:56,ZIM,2,2,12,4,AE,55,AE,55,35,No
5/22/2017 17:23:46,ZIM,2,2,12,5,AE,55,AE,61,31,No
5/22/2017 17:24:05,ZIM,2,2,12,6,AE,61,AE,61,30,No
5/22/2017 17:24:35,ZIM,2,2,13,1,AE,61,AE,61,31,No
5/22/2017 17:26:36,ZIM,2,2,13,2,AE,61,AE,61,30,No
5/22/2017 17:26:58,ZIM,2,2,13,3,AE,61,AE,61,29,No
5/22/2017 17:27:36,ZIM,2,2,13,4,AE,61,AE,61,31,No
5/22/2017 17:27:58,ZIM,2,2,13,5,AE,61,AE,61,35,No
5/22/2017 17:28:12,ZIM,2,2,13,6,AE,61,AE,61,35,No
5/22/2017 17:28:30,ZIM,2,2,14,1,AE,61,AE,61,35,No
5/22/2017 17:28:48,ZIM,2,2,14,2,AE,61,AE,61,32,No
5/22/2017 17:33:34,ZIM,2,2,14,3,AE,61,AE,61,31,No
5/22/2017 17:34:01,ZIM,2,2,14,4,AE,61,AE,61,31,No
5/22/2017 17:35:31,ZIM,2,2,14,5,AE,61,AE,65,31,No
5/22/2017 17:36:10,ZIM,2,2,14,6,AE,65,AE,69,31,No
5/22/2017 17:37:42,ZIM,2,3,1,1,AE,65,AE,65,31,No
5/22/2017 17:38:33,ZIM,2,3,1,2,AE,65,AE,65,30,No
5/22/2017 17:40:21,ZIM,2,3,1,3,AG,5,AG,8,32,No
5/22/2017 17:40:48,ZIM,2,3,1,4,AG,5,AG,5,31,No
5/22/2017 17:41:09,ZIM,2,3,1,5,AG,5,AG,5,32,No
